iter	Passed	Remaining
402	10373	15367
403	10397	15339
404	10419	15307
405	10443	15278
406	10465	15248
407	10490	15220
408	10515	15194
409	10541	15169
410	10565	15141
411	10590	15115
412	10614	15087
413	10637	15056
414	10660	15027
415	10683	14998
416	10705	14967
417	10730	14940
418	10755	14913
419	10783	14891
420	10811	14868
421	10834	14839
422	10877	14837
423	10934	14854
424	10967	14838
425	10995	14815
426	11020	14788
427	11046	14763
428	11071	14736
429	11098	14711
430	11119	14680
431	11144	14653
432	11169	14626
433	11193	14597
434	11215	14567
435	11237	14536
436	11263	14510
437	11285	14480
438	11308	14451
439	11331	14422
440	11356	14395
441	11380	14366
442	11405	14340
443	11432	14316
444	11456	14287
445	11481	14261
446	11505	14233
447	11528	14204
448	11553	14178
449	11578	14151
450	11604	14125
451	11629	14099
452	11652	14070
453	11674	14040
454	11696	14010
455	11722	13984
456	11745	13955
457	11767	13925
458	11794	13901
459	11818	13873
460	11842	13846
461	11865	13817
462	11887	13787
463	11908	13756
464	11931	13728
465	11956	13700
466	11982	13675
467	12006	13648
468	12028	13618
469	12055	13594
470	12079	13567
471	12103	13538
472	12124	13509
473	12146	13479
474	12173	13454
475	12199	13429
476	12225	13404
477	12250	13377
478	12272	13348
479	12296	13321
480	12322	13295
481	12344	13266
482	12368	13239
483	12390	13209
484	12413	13181
485	12437	13154
486	12458	13123
487	12483	13097
488	12509	13072
489	12534	13046
490	12565	13025
491	12586	12995
492	12607	12965
493	12630	12937
494	12659	12915
495	12681	12886
496	12706	12859
497	12727	12830
498	12751	12802
499	12774	12774
500	12799	12748
501	12822	12720
502	12844	12691
503	12867	12663
504	12890	12635
505	12915	12609
506	12940	12583
507	12965	12557
508	12990	12531
509	13015	12504
510	13038	12477
511	13062	12450
512	13087	12424
513	13113	12398
514	13136	12370
515	13160	12343
516	13182	12315
517	13204	12286
518	13227	12259
519	13251	12232
520	13275	12205
521	13299	12178
522	13323	12151
523	13346	12124
524	13368	12095
525	13390	12066
526	13412	12037
527	13434	12009
528	13455	11979
529	13478	11953
530	13502	11926
531	13525	11898
532	13549	11871
533	13574	11846
534	13600	11821
535	13624	11794
536	13650	11769
537	13675	11743
538	13699	11716
539	13726	11693
540	13757	11671
541	13782	11646
542	13807	11621
543	13830	11593
544	13853	11565
545	13875	11537
546	13902	11513
547	13925	11486
548	13951	11460
549	13973	11432
550	13996	11405
551	14017	11376
552	14039	11348
553	14061	11320
554	14084	11293
555	14109	11267
556	14128	11237
557	14160	11216
558	14186	11192
559	14208	11164
560	14232	11137
561	14256	11110
562	14283	11086
563	14308	11060
564	14334	11036
565	14359	11010
566	14385	10985
567	14410	10960
568	14437	10935
569	14459	10907
570	14487	10884
571	14509	10856
572	14534	10831
573	14561	10806
574	14585	10780
575	14619	10761
576	14644	10735
577	14669	10710
578	14691	10682
579	14721	10660
580	14745	10634
581	14766	10605
582	14793	10581
583	14817	10555
584	14840	10527
585	14864	10501
586	14887	10474
587	14909	10446
588	14941	10426
589	14965	10399
590	14994	10376
591	15019	10351
592	15042	10324
593	15065	10297
594	15090	10271
595	15117	10247
596	15141	10220
597	15166	10195
598	15190	10169
599	15215	10143
600	15238	10116
601	15262	10090
602	15287	10065
603	15311	10038
604	15335	10012
605	15360	9986
606	15381	9958
607	15405	9932
608	15430	9907
609	15459	9883
610	15487	9860
611	15512	9834
612	15538	9809
613	15563	9784
614	15587	9757
615	15609	9730
616	15634	9704
617	15662	9681
618	15693	9659
619	15719	9634
620	15741	9607
621	15766	9581
622	15793	9557
623	15817	9530
624	15839	9503
625	15863	9477
626	15886	9450
627	15912	9425
628	15935	9399
629	15962	9374
630	15989	9350
631	16013	9324
632	16041	9300
633	16072	9278
634	16097	9252
635	16122	9227
636	16148	9202
637	16171	9175
638	16192	9148
639	16217	9122
640	16241	9096
641	16263	9068
642	16288	9043
643	16311	9016
644	16341	8994
645	16365	8968
646	16388	8941
647	16412	8915
648	16433	8887
649	16458	8862
650	16481	8835
651	16506	8810
652	16530	8784
653	16554	8758
654	16579	8732
655	16602	8706
656	16626	8680
657	16665	8661
658	16695	8639
659	16720	8613
660	16753	8591
661	16781	8568
662	16806	8542
663	16832	8517
664	16853	8490
665	16876	8463
666	16900	8437
667	16923	8411
668	16947	8385
669	16970	8358
670	16994	8332
671	17020	8307
672	17042	8280
673	17066	8254
674	17096	8231
675	17120	8205
676	17146	8180
677	17171	8155
678	17193	8128
679	17216	8101
680	17243	8077
681	17267	8051
682	17292	8026
683	17317	8000
684	17344	7976
685	17369	7950
686	17391	7923
687	17413	7896
688	17434	7869
689	17459	7844
690	17482	7817
691	17503	7790
692	17527	7764
693	17550	7738
694	17576	7713
695	17601	7687
696	17624	7661
697	17648	7635
698	17671	7609
699	17695	7583
700	17725	7560
701	17749	7534
702	17774	7509
703	17799	7483
704	17822	7457
705	17848	7432
706	17874	7407
707	17896	7381
708	17918	7354
709	17940	7327
710	17971	7304
711	17993	7278
712	18016	7252
713	18040	7226
714	18065	7200
715	18092	7176
716	18116	7150
717	18139	7124
718	18164	7098
719	18187	7072
720	18210	7046
721	18233	7020
722	18256	6994
723	18278	6968
724	18303	6942
725	18326	6916
726	18347	6889
727	18373	6865
728	18398	6839
729	18423	6814
730	18448	6788
731	18474	6763
732	18495	6736
733	18516	6710
734	18540	6684
